Date-Hour(NMT),FF,OT_1,PR,QSI,TA,UU
17.07.2017-06:00,3,9,1009.1,47.7,10.5,73
17.07.2017-07:00,3.3,44,1009.3,229.1,13.9,61
17.07.2017-08:00,3.5,60,1009.4,422.6,16.1,54
17.07.2017-09:00,3.8,52,1009.4,494.2,17.3,48
17.07.2017-10:00,4,42,1009.5,457.1,17.1,45
17.07.2017-11:00,3.6,26,1009.3,467.1,18.9,41
17.07.2017-12:00,4.3,15,1009.2,446.7,18.3,46
17.07.2017-13:00,4.4,42,1009.2,695.3,19.8,41
17.07.2017-14:00,5.1,33,1009.2,564.6,19.7,40
17.07.2017-15:00,5.3,57,1009.2,634,20.5,36
17.07.2017-16:00,5.5,40,1009.1,551.2,18.8,36
17.07.2017-17:00,4.7,25,1009.2,335.5,19.7,37
17.07.2017-18:00,4.5,25,1009.2,260.6,19.7,38
17.07.2017-19:00,5.3,16,1009.7,164.9,18.1,38
17.07.2017-20:00,3.8,40,1010.3,129.9,16.7,44
17.07.2017-21:00,3.5,21,1010.7,28.8,15.5,45
17.07.2017-22:00,3.7,0,1011.3,-4.8,13.9,52
17.07.2017-23:00,2.5,0,1011.8,-7,13.6,53
18.07.2017-00:00,1.3,0,1012.4,-8.2,12.2,60
18.07.2017-01:00,0.8,0,1012.7,-8.1,11.1,66
18.07.2017-02:00,1,0,1013,-8.2,10,73
18.07.2017-03:00,0.9,0,1013.4,-8.2,9.2,77
18.07.2017-04:00,0.6,0,1013.7,-3.3,8.9,80
18.07.2017-05:00,0.9,10,1014.1,24.5,9.5,78
18.07.2017-06:00,1.9,60,1014.1,157.8,13.2,62
18.07.2017-07:00,3.1,60,1014,285.8,15.3,54
18.07.2017-08:00,2.6,60,1014.3,419,16.7,53
18.07.2017-09:00,3.1,60,1014.5,539.6,18.4,44
18.07.2017-10:00,4,60,1014.6,650.3,19.7,41
18.07.2017-11:00,4.5,60,1014.7,758,20.8,40
18.07.2017-12:00,2.1,54,1014.6,793.3,21.8,34
18.07.2017-13:00,1.4,41,1014.6,723.9,20.8,35
18.07.2017-14:00,1.2,2,1014.7,249.2,21,38
18.07.2017-15:00,2,2,1014.6,205.3,20.9,39
18.07.2017-16:00,1.5,12,1014.3,302.8,21.6,36
18.07.2017-17:00,0.9,17,1014.2,305.7,22.6,36
18.07.2017-18:00,2.4,13,1014.5,228,20.7,41
18.07.2017-19:00,2.3,12,1014.8,125.2,20.2,45
18.07.2017-20:00,2.4,38,1015.1,102.8,19.4,52
18.07.2017-21:00,2,17,1015.7,25.3,17.9,56
18.07.2017-22:00,2.4,0,1016.1,-5.6,15.7,70
18.07.2017-23:00,3.1,0,1016.5,-8,14.4,73
19.07.2017-00:00,3.5,0,1016.9,-7.6,14.3,65
19.07.2017-01:00,4.2,0,1017.1,-8,14.7,58
19.07.2017-02:00,6.4,0,1017.8,-7.5,14.8,55
19.07.2017-03:00,4.7,0,1018.3,-6.9,14.5,54
19.07.2017-04:00,4.6,0,1018.6,-2.1,13.8,57
19.07.2017-05:00,4.4,0,1018.9,27.6,13.8,58
19.07.2017-06:00,3.8,26,1019.5,129.2,14.4,56
19.07.2017-07:00,3,30,1019.9,215,14.9,53
19.07.2017-08:00,2.1,29,1019.8,246.1,15.9,51
19.07.2017-09:00,2.3,60,1019.6,534.3,17.6,54
19.07.2017-10:00,2.4,60,1019.5,573.4,17.7,45
19.07.2017-11:00,1.9,6,1018.9,430.9,18.2,48
19.07.2017-12:00,2.7,8,1018.6,524.4,19.2,48
19.07.2017-13:00,1.7,17,1018.1,602.2,21.1,43
19.07.2017-14:00,2.4,60,1017.5,749.6,21.3,45
19.07.2017-15:00,2.3,60,1017,714,21.4,43
19.07.2017-16:00,2,60,1016.4,615.7,21.8,41
19.07.2017-17:00,2.6,60,1016,497.1,21.2,43
19.07.2017-18:00,2.1,60,1015.8,367.7,20.8,44
19.07.2017-19:00,1.7,60,1015.7,236,21,44
19.07.2017-20:00,1.1,60,1015.6,119.7,19,51
19.07.2017-21:00,1.3,39,1015.8,27,16.5,64
19.07.2017-22:00,2.9,0,1015.8,-6.4,14.6,73
19.07.2017-23:00,1.6,0,1015.8,-7.7,13.7,78
20.07.2017-00:00,2.7,0,1015.9,-7.7,13,81
20.07.2017-01:00,2.8,0,1015.9,-7.4,12.6,82
20.07.2017-02:00,1.7,0,1015.7,-7.3,12.3,84
20.07.2017-03:00,2.2,0,1015.2,-8.6,11.9,88
20.07.2017-04:00,3,0,1015.3,-3.3,11.4,91
20.07.2017-05:00,1.6,10,1014.9,23,12.4,84
20.07.2017-06:00,1.6,60,1014.6,143.6,14.4,78
20.07.2017-07:00,1,60,1014.4,268.2,17.7,63
20.07.2017-08:00,0.9,60,1014.2,401,19.2,55
20.07.2017-09:00,2.1,60,1014.1,526.3,20.2,49
20.07.2017-10:00,2.1,60,1013.7,637.2,21.5,48
20.07.2017-11:00,2.4,60,1013.3,723.1,23.1,42
20.07.2017-12:00,1.8,60,1012.9,777.4,24.2,36
20.07.2017-13:00,3.1,60,1012.4,790,23.8,38
20.07.2017-14:00,2.4,60,1011.8,765.1,25,39
20.07.2017-15:00,3.1,60,1011.4,706.6,25.7,36
20.07.2017-16:00,3,60,1011,615.9,24.9,35
20.07.2017-17:00,2.8,60,1010.7,500.2,25,34
20.07.2017-18:00,2.3,60,1010.5,372.3,24.2,36
20.07.2017-19:00,2.1,60,1010.5,218.4,23.5,37
20.07.2017-20:00,1.9,60,1010.7,130.6,22.3,42
20.07.2017-21:00,0.4,38,1011,28.9,20.8,52
20.07.2017-22:00,1.9,0,1011.4,-6.6,20.6,41
20.07.2017-23:00,1.4,0,1011.8,-9.1,18.9,44
21.07.2017-00:00,1.7,0,1012.3,-9.3,16.1,61
21.07.2017-01:00,2.7,0,1012.6,-8.2,15.2,62
21.07.2017-02:00,2.9,0,1012.7,-7.3,15.4,58
21.07.2017-03:00,3.4,0,1012.6,-7.5,14.8,61
21.07.2017-04:00,2.6,0,1012.8,-0.3,14.1,65
21.07.2017-05:00,2.9,10,1013,36.6,14.8,65
21.07.2017-06:00,2.1,33,1013.2,153.3,17.2,61
21.07.2017-07:00,2,20,1013.4,219.4,18,57
21.07.2017-08:00,1.8,0,1014.1,183.3,17.9,59
21.07.2017-09:00,1.8,0,1014.7,190.7,18.3,60
21.07.2017-10:00,1.9,0,1015.2,224.2,19,61
21.07.2017-11:00,1.8,0,1015.6,259.7,19.3,64
21.07.2017-12:00,2,0,1016.1,310.5,19.7,61
21.07.2017-13:00,3.3,0,1016.4,272.9,19.8,61
21.07.2017-14:00,5.5,0,1017,358.8,18.8,57
21.07.2017-15:00,4.1,0,1017.4,204.8,18.1,59
21.07.2017-16:00,4.1,0,1017.4,243.2,18.3,58
21.07.2017-17:00,2.6,0,1017.6,228.9,18.1,64
21.07.2017-18:00,2.8,0,1017.7,119.1,17.4,65
21.07.2017-19:00,1.3,0,1018.2,86.8,16.9,69
21.07.2017-20:00,2.2,0,1018.4,46.8,16.5,69
21.07.2017-21:00,1.8,0,1018.8,4.4,16,70
21.07.2017-22:00,3,0,1018.8,-5.1,16,69
21.07.2017-23:00,1.3,0,1018.7,-6,15.6,69
22.07.2017-00:00,1.4,0,1018.9,-7.7,15.2,76
22.07.2017-01:00,0.4,0,1019.2,-7.4,14.9,79
22.07.2017-02:00,1.5,0,1019.4,-7.2,14.7,80
22.07.2017-03:00,1.5,0,1019.4,-7.7,14.6,82
22.07.2017-04:00,1.9,0,1019.5,-4.3,14.5,83
22.07.2017-05:00,1.4,0,1019.8,9,14.7,83
22.07.2017-06:00,0.8,0,1020.1,28.9,15.1,84
22.07.2017-07:00,0.7,0,1019.9,124.8,16.5,74
22.07.2017-08:00,1.5,20,1020.2,257.9,17.6,72
22.07.2017-09:00,0.9,20,1020.1,301.8,18.7,62
22.07.2017-10:00,1.8,60,1020.1,674.9,20.8,56
22.07.2017-11:00,2.8,60,1019.9,733.8,21.4,49
22.07.2017-12:00,3.6,60,1019.8,747.4,22,48
22.07.2017-13:00,2.6,60,1019.5,781.8,23.7,45
22.07.2017-14:00,3.5,60,1019.3,722.3,23.6,41
22.07.2017-15:00,3.1,60,1018.9,707.1,23.9,38
22.07.2017-16:00,2.7,60,1018.6,560.2,23.9,39
22.07.2017-17:00,1,60,1018.2,476.6,24,40
22.07.2017-18:00,2,57,1018.2,251.2,22.2,42
22.07.2017-19:00,1.7,60,1018,201.5,22.2,43
22.07.2017-20:00,1.7,45,1018.1,99.7,20.8,48
22.07.2017-21:00,1.7,9,1018.5,19.1,18.8,60
22.07.2017-22:00,2.4,0,1018.6,-5.8,17,65
22.07.2017-23:00,3.4,0,1018.7,-7.6,16.9,70
23.07.2017-00:00,0.6,0,1018.8,-7.6,15.5,77
23.07.2017-01:00,0.6,0,1018.6,-9.2,15.2,78
23.07.2017-02:00,0.7,0,1018.5,-9.2,14.2,84
23.07.2017-03:00,1.5,0,1018.4,-8.4,14.4,84
23.07.2017-04:00,2.3,0,1018,-2.3,15.2,78
23.07.2017-05:00,0.8,0,1018,12,14.2,86
23.07.2017-06:00,2.8,37,1017.5,122.4,17.5,65
23.07.2017-07:00,1.7,18,1017.6,162.6,18.5,64
23.07.2017-08:00,1.8,58,1017.3,311.7,20.4,57
23.07.2017-09:00,1.5,60,1017.2,515.2,22.3,51
23.07.2017-10:00,1.4,60,1016.7,680.9,23.5,44
23.07.2017-11:00,2.5,60,1016.5,668.5,23.9,41
23.07.2017-12:00,2.1,60,1015.9,758.3,25.2,39
23.07.2017-13:00,1.3,60,1015.4,784.1,26.2,37
23.07.2017-14:00,1.1,57,1014.7,749.3,27.1,33
23.07.2017-15:00,3.7,7,1014.6,190.8,23.4,40
23.07.2017-16:00,2.2,0,1014.2,38.8,22.7,42
23.07.2017-17:00,2.5,0,1013.9,51.8,22.6,46
23.07.2017-18:00,2.8,0,1013.7,81.4,22.6,46
23.07.2017-19:00,2.8,0,1013.8,53.4,21.9,52
23.07.2017-20:00,3.5,0,1014.1,19.2,20.6,54
23.07.2017-21:00,4.4,0,1014.3,-0.2,19.9,60
23.07.2017-22:00,3,0,1014.8,-6.6,18.9,66
23.07.2017-23:00,3.6,0,1014.9,-7.3,17.4,79
24.07.2017-00:00,4.3,0,1014.7,-6.2,17.4,76
24.07.2017-01:00,1.8,0,1014.6,-6.2,17.4,75
24.07.2017-02:00,4.1,0,1014.9,-6.4,17.1,77
24.07.2017-03:00,4.6,0,1014.8,-6.6,16.6,79
24.07.2017-04:00,3.8,0,1014.7,-5.2,16,83
24.07.2017-05:00,3.5,0,1015.2,3.7,15.4,84
24.07.2017-06:00,3.4,0,1015.5,25.2,15.1,79
24.07.2017-07:00,3.9,0,1015.5,93.1,15.1,75
24.07.2017-08:00,3.8,0,1015.6,159.4,15.4,72
24.07.2017-09:00,3,0,1015.7,241.4,16.7,65
24.07.2017-10:00,4.6,0,1015.9,266.4,17,64
24.07.2017-11:00,4.1,0,1015.9,319.2,17.1,65
24.07.2017-12:00,3.2,0,1015.8,311.5,18,64
24.07.2017-13:00,2.8,0,1015.6,302,18.6,61
24.07.2017-14:00,2.9,37,1015.1,532.1,20.1,55
24.07.2017-15:00,3.8,58,1014.8,699,20.7,52
24.07.2017-16:00,3.1,12,1014.6,343.2,20.4,49
24.07.2017-17:00,3.3,10,1014.3,225,20.2,48
24.07.2017-18:00,2.9,0,1014,156.2,20,50
24.07.2017-19:00,3.1,0,1014.1,73.6,19.5,54
24.07.2017-20:00,2.8,0,1014.2,30,18.9,57
24.07.2017-21:00,3.5,0,1014.5,2.2,18.2,61
24.07.2017-22:00,4,0,1014.6,-6.5,17.8,64
24.07.2017-23:00,4.3,0,1014.6,-6.9,17.4,64
25.07.2017-00:00,3.1,0,1014.4,-7.1,17,64
25.07.2017-01:00,3.2,0,1014.4,-7.5,16.7,65
25.07.2017-02:00,3.5,0,1014.5,-8,16.2,68
25.07.2017-03:00,4.2,0,1014.4,-7.5,15.9,68
25.07.2017-04:00,3.6,0,1014.1,-3.6,15.9,68
25.07.2017-05:00,1.8,5,1014.1,15.4,15.5,71
25.07.2017-06:00,1,49,1014.2,105.4,15.3,78
25.07.2017-07:00,0.4,60,1013.8,246.7,19.5,59
25.07.2017-08:00,2.9,60,1013.6,379.7,19.9,54
25.07.2017-09:00,2.9,60,1013.3,508.8,20.8,53
25.07.2017-10:00,3.7,60,1012.8,633.5,21.6,51
25.07.2017-11:00,3.4,60,1012.5,672.8,22.7,48
25.07.2017-12:00,4,44,1012.1,679.2,22.6,47
25.07.2017-13:00,4.4,43,1011.7,685.8,23.6,42
25.07.2017-14:00,4.2,24,1011.5,395.7,22.4,49
25.07.2017-15:00,3,17,1011.3,297.3,22,54
25.07.2017-16:00,3.5,8,1011.1,166.8,22.5,51
25.07.2017-17:00,3.5,60,1010.8,431.1,22.6,49
25.07.2017-18:00,3.1,59,1010.6,319.7,22.4,48
25.07.2017-19:00,1.9,60,1010.4,226.7,22.2,51
25.07.2017-20:00,3.9,60,1010.8,139.1,21.4,53
25.07.2017-21:00,1.6,13,1011.1,17,19.5,62
25.07.2017-22:00,2.7,0,1011.2,-5.8,18.6,67
25.07.2017-23:00,2.8,0,1011,-6.9,18.9,64
26.07.2017-00:00,2.3,0,1010.9,-7.1,18.1,71
26.07.2017-01:00,1.7,0,1010.9,-7,17.9,71
26.07.2017-02:00,2,0,1011,-6.8,17.8,72
26.07.2017-03:00,2.7,0,1011,-7.1,17.1,82
26.07.2017-04:00,2.6,0,1011,-6.1,15.8,95
26.07.2017-05:00,2.2,0,1011,4.3,15.7,93
26.07.2017-06:00,2.7,0,1010.3,69.3,16.3,85
26.07.2017-07:00,2.7,9,1009.9,190.6,17.4,77
26.07.2017-08:00,2.5,0,1009.4,203,17.7,73
26.07.2017-09:00,2.6,4,1009.2,274.8,18.6,67
26.07.2017-10:00,1,19,1008.7,389.6,19.7,58
26.07.2017-11:00,1.9,0,1008.5,251.9,19.9,60
26.07.2017-12:00,2.6,5,1007.9,378.6,20.9,57
26.07.2017-13:00,1.9,0,1007.7,223.6,20.2,57
26.07.2017-14:00,0.9,0,1007.3,98,20.4,58
26.07.2017-15:00,1.8,0,1006.8,131.2,20.6,59
26.07.2017-16:00,1.6,0,1006.4,207.1,21.1,61
26.07.2017-17:00,1.7,5,1006,210.8,20.9,59
26.07.2017-18:00,3,2,1005.8,178.3,20.6,61
26.07.2017-19:00,1.9,0,1005.6,58.8,20,61
26.07.2017-20:00,2.3,0,1005.5,59.4,19.6,64
26.07.2017-21:00,1,0,1005.7,4.1,18.7,71
26.07.2017-22:00,1.9,0,1005.6,-8,16.9,83
26.07.2017-23:00,2.7,0,1005.7,-8.7,15.8,84
27.07.2017-00:00,2.8,0,1005.2,-6.8,16.4,79
27.07.2017-01:00,1.8,0,1004.8,-6.4,16.6,77
27.07.2017-02:00,1.2,0,1004.5,-7.2,16.7,77
27.07.2017-03:00,1.2,0,1004,-7.4,16.5,78
27.07.2017-04:00,1,0,1003.5,-7.1,16.5,77
27.07.2017-05:00,1.3,0,1003.4,7.3,16.2,81
27.07.2017-06:00,0.9,0,1003.3,19.2,16.3,82
27.07.2017-07:00,1.1,0,1003.1,29.3,16.1,91
27.07.2017-08:00,1.4,0,1002.9,112.6,17.1,85
27.07.2017-09:00,1.5,1,1002.4,208.8,18.1,76
27.07.2017-10:00,0.8,1,1002,351.2,19.6,70
27.07.2017-11:00,2.1,0,1002,258.7,19.3,70
27.07.2017-12:00,2.5,0,1002,230.4,19.5,68
27.07.2017-13:00,2.7,0,1002,286.6,19.5,68
27.07.2017-14:00,3.1,0,1002.1,95.7,18.9,65
27.07.2017-15:00,1.7,0,1002.2,159.4,17.2,89
27.07.2017-16:00,0.5,0,1001.8,215,17.9,87
27.07.2017-17:00,1.1,0,1001.8,151.9,17.8,84
27.07.2017-18:00,1.6,0,1001.8,69.4,17.2,83
27.07.2017-19:00,1.4,0,1001.6,48.4,17.3,81
27.07.2017-20:00,1.5,0,1001.4,10.5,15.8,95
27.07.2017-21:00,0.8,0,1001.6,-1.8,15.1,99
27.07.2017-22:00,0.5,0,1001.3,-5.6,15.4,100
27.07.2017-23:00,1.6,0,1001.6,-4.4,14.9,99
28.07.2017-00:00,2.4,0,1001.6,-4.1,14.3,100
28.07.2017-01:00,1,0,1001.4,-4.8,13.9,100
28.07.2017-02:00,2.1,0,1001.1,-5,13.9,100
28.07.2017-03:00,1.1,0,1001.2,-5.5,14,100
28.07.2017-04:00,0.7,0,1001.2,-5.3,13.9,100
28.07.2017-05:00,1.8,0,1001.2,3.5,13.9,97
28.07.2017-06:00,1.3,0,1001.2,27.1,14.1,99
28.07.2017-07:00,1,3,1001.4,74.1,14.4,97
28.07.2017-08:00,2.6,18,1001.5,260.7,16,85
28.07.2017-09:00,3.3,53,1001.7,401.4,16.4,79
28.07.2017-10:00,2.9,58,1001.7,611.8,18.6,65
28.07.2017-11:00,4.7,60,1001.9,680.6,19,52
28.07.2017-12:00,4.4,59,1001.8,744.8,20.5,51
28.07.2017-13:00,5,60,1001.7,798.7,20.4,48
28.07.2017-14:00,5.5,60,1002.1,758.6,20,50
28.07.2017-15:00,5.6,59,1002.5,690.7,19.6,49
28.07.2017-16:00,4.7,46,1002.6,461,18.9,54
28.07.2017-17:00,6,19,1002.7,213.5,18.4,56
28.07.2017-18:00,5.4,53,1003,301.5,17.8,60
28.07.2017-19:00,4.2,41,1003.3,165.2,17,64
28.07.2017-20:00,4.1,21,1003.6,61.8,16.4,69
28.07.2017-21:00,3.6,1,1004,7.6,15.5,75
28.07.2017-22:00,2.4,0,1004.1,-6.3,14.5,81
28.07.2017-23:00,2.7,0,1004.4,-7.1,14.2,84
29.07.2017-00:00,2.8,0,1004.5,-7,13.9,88
29.07.2017-01:00,1.2,0,1004.7,-7,13.2,94
29.07.2017-02:00,1.8,0,1004.4,-6.8,13.5,92
29.07.2017-03:00,2.1,0,1004.5,-6.8,13.1,95
29.07.2017-04:00,1.6,0,1004.3,-4.6,13,96
29.07.2017-05:00,0.8,1,1004.3,17.5,13.1,96
29.07.2017-06:00,1.5,10,1004.2,94.6,13.7,92
29.07.2017-07:00,1.7,19,1004.3,171.9,14.7,83
29.07.2017-08:00,1.6,46,1004.6,276.4,15.6,81
29.07.2017-09:00,2.1,34,1004.5,302.2,15.7,80
29.07.2017-10:00,2.9,19,1004.6,259.5,17,70
29.07.2017-11:00,2.6,12,1004.6,271.5,17.1,73
29.07.2017-12:00,4.8,6,1004.5,372.8,17.1,71
29.07.2017-13:00,4.4,17,1004.2,499.1,19.2,59
29.07.2017-14:00,2.9,1,1004,271,18.6,65
29.07.2017-15:00,1.6,56,1003.4,544.8,19.9,55
29.07.2017-16:00,1.5,37,1003.1,405.4,21,49
29.07.2017-17:00,2.4,9,1003.2,213.9,18.7,63
29.07.2017-18:00,2.7,0,1003.4,97.8,17.9,63
29.07.2017-19:00,2.4,0,1003.2,41.2,17.1,70
29.07.2017-20:00,2.2,0,1003.5,9.6,16.4,77
29.07.2017-21:00,3.4,0,1003.6,-3.8,14.8,84
29.07.2017-22:00,2.9,0,1003.6,-6.3,14.4,89
29.07.2017-23:00,2.5,0,1003.9,-5.9,14.4,90
30.07.2017-00:00,2.2,0,1003.9,-6,14.5,91
30.07.2017-01:00,1.5,0,1004.4,-6.2,14.5,92
30.07.2017-02:00,0.8,0,1004.6,-6.8,14.4,93
30.07.2017-03:00,1.7,0,1004.6,-6.2,14.6,90
30.07.2017-04:00,1,0,1004.7,-5.6,14.3,89
30.07.2017-05:00,0.6,0,1004.7,4.5,14.5,92
30.07.2017-06:00,0.9,0,1004.9,23,15.1,89
30.07.2017-07:00,1.2,0,1005.2,22.4,15.1,91
30.07.2017-08:00,1.5,0,1005.4,42.4,15.4,90
30.07.2017-09:00,1.7,0,1005.5,136.1,15.9,83
30.07.2017-10:00,0.8,5,1005.3,266.3,17.7,78
30.07.2017-11:00,2.5,11,1005.3,356.5,18.7,69
30.07.2017-12:00,4.2,11,1004.9,440,19.2,57
30.07.2017-13:00,3.9,24,1004.7,534.6,19.1,60
30.07.2017-14:00,3,0,1004.6,331.5,18.6,59
30.07.2017-15:00,2.4,1,1004.4,249.1,18.3,66
30.07.2017-16:00,1.4,0,1003.8,150.7,18.2,65
30.07.2017-17:00,2,0,1003.7,70.9,17.5,67
30.07.2017-18:00,1.1,0,1003.6,61.8,15.6,94
30.07.2017-19:00,3.1,0,1003,14.3,15.1,93
30.07.2017-20:00,4.3,0,1001.8,1.4,15.5,90
30.07.2017-21:00,2.7,0,1001.7,-2.5,15,96
30.07.2017-22:00,1.5,0,1001.3,-4.1,15.1,95
30.07.2017-23:00,0.9,0,1001.4,-4.8,15,99
31.07.2017-00:00,0.9,0,1001.1,-5.7,15.4,100
31.07.2017-01:00,3.4,0,1001.1,-6.2,15.1,98
31.07.2017-02:00,3.5,0,1001.4,-5.3,14.8,98
31.07.2017-03:00,4.1,0,1001.9,-5,14,94
31.07.2017-04:00,3.8,0,1002,-5.1,13.6,94
31.07.2017-05:00,2,0,1002.3,-0.2,13.7,94
31.07.2017-06:00,3.8,0,1003.1,18.3,13.8,92
31.07.2017-07:00,3.8,0,1003.5,84.4,14.4,85
31.07.2017-08:00,5.3,27,1003.9,266.2,16.1,76
31.07.2017-09:00,3.5,52,1004.6,446.2,17.5,71
31.07.2017-10:00,5.8,60,1005,628.5,18.1,65
31.07.2017-11:00,6.7,56,1005.3,665.3,18.9,59
31.07.2017-12:00,5.9,35,1005.5,645.5,19.7,56
31.07.2017-13:00,5.3,37,1005.8,613.4,19.5,54
31.07.2017-14:00,6.1,43,1005.7,684.8,21,55
31.07.2017-15:00,6.4,21,1006.4,286.3,18.4,65
31.07.2017-16:00,1,0,1007.5,87.4,15.1,92
31.07.2017-17:00,2.8,3,1007.7,183.2,16.3,84
31.07.2017-18:00,4.7,0,1008.1,72.2,15.5,82
31.07.2017-19:00,1.9,14,1008.1,115.6,15.6,86
31.07.2017-20:00,3.5,0,1008.3,18.1,16.1,91
31.07.2017-21:00,4.2,0,1008.8,-1.6,15.4,82
31.07.2017-22:00,2.5,0,1008.9,-6.5,14.8,93
31.07.2017-23:00,4.2,0,1009.1,-6.2,14.9,95
01.08.2017-00:00,4.1,0,1009.2,-6,15.1,92
01.08.2017-01:00,3.2,0,1009.5,-6,14.5,90
01.08.2017-02:00,3.3,0,1009.4,-6.5,13.7,90
01.08.2017-03:00,2.9,0,1010,-6.6,13.8,91
01.08.2017-04:00,1.9,0,1010.2,-5.3,13.3,92
01.08.2017-05:00,2,0,1010.7,9.3,13,94
01.08.2017-06:00,2.9,0,1011.2,35.9,13.3,93
01.08.2017-07:00,1.9,12,1011.8,123.8,14,88
01.08.2017-08:00,1.8,1,1012.2,156.4,14.7,84
01.08.2017-09:00,3,28,1012.4,293.4,16.3,72
01.08.2017-10:00,3.1,47,1012.3,492.7,18.8,60
01.08.2017-11:00,5.2,55,1012.7,711,18.2,65
01.08.2017-12:00,3.9,48,1012.4,680.9,18.8,58
01.08.2017-13:00,4.3,21,1012.3,532.5,19.8,56
01.08.2017-14:00,5.6,22,1012.7,458.4,17.2,79
01.08.2017-15:00,3.6,15,1012.6,371.4,18.8,76
01.08.2017-16:00,4,23,1012.7,362,17.6,73
01.08.2017-17:00,3.7,0,1012.5,111.3,17.3,73
01.08.2017-18:00,4.7,0,1012.2,85.4,17.1,78
01.08.2017-19:00,3.6,0,1011.9,86.7,17.1,75
01.08.2017-20:00,2.6,0,1012,22.4,16.6,82
01.08.2017-21:00,3.2,0,1011.6,-0.2,16.2,79
01.08.2017-22:00,3.8,0,1011.7,-6.6,15.9,88
01.08.2017-23:00,2.7,0,1011.4,-6.8,15.1,90
02.08.2017-00:00,3,0,1010.8,-6.8,15.1,91
02.08.2017-01:00,2,0,1010.5,-7.3,14.2,95
02.08.2017-02:00,1.6,0,1009.9,-8.2,13.2,98
02.08.2017-03:00,0.2,0,1009.8,-8.1,12.4,98
02.08.2017-04:00,1,0,1009.6,-6.5,11.7,100
02.08.2017-05:00,2.1,0,1009.6,-4,13.4,100
02.08.2017-06:00,2.6,0,1009.3,1.8,13.2,100
02.08.2017-07:00,1.5,0,1009.3,34.6,13.7,99
02.08.2017-08:00,3.7,0,1009.3,26.8,13.6,96
02.08.2017-09:00,2.5,12,1009.1,250.6,15.4,91
02.08.2017-10:00,2.5,9,1009.1,293.7,16.4,82
02.08.2017-11:00,2.9,26,1008.7,425.2,16.5,78
02.08.2017-12:00,1.7,0,1008.5,78.4,15.1,91
02.08.2017-13:00,2.4,41,1008.2,593.8,20,56
02.08.2017-14:00,5.1,60,1007.8,804.8,19.6,58
02.08.2017-15:00,3.8,22,1008,379.5,18.9,62
02.08.2017-16:00,5.7,41,1008,375.2,18,63
02.08.2017-17:00,5.2,49,1007.9,393.3,19.3,58
02.08.2017-18:00,3.5,54,1007.8,312.6,18.4,63
02.08.2017-19:00,4.2,60,1007.9,200.7,17.7,64
02.08.2017-20:00,3.1,39,1008.5,62.4,16.8,71
02.08.2017-21:00,1.9,13,1008.9,5.7,15.5,75
02.08.2017-22:00,1.5,0,1009.6,-7.6,14.6,81
02.08.2017-23:00,1.6,0,1009.6,-8.2,12.8,91
03.08.2017-00:00,1.1,0,1010,-8.6,11.7,95
03.08.2017-01:00,1.1,0,1009.8,-8.1,10.8,96
03.08.2017-02:00,2.2,0,1009.9,-7.8,10.5,97
03.08.2017-03:00,2.4,0,1009.9,-7.5,9.9,95
03.08.2017-04:00,2.3,0,1009.9,-6.2,9.4,97
03.08.2017-05:00,2.1,16,1010,18.3,9.7,96
03.08.2017-06:00,1.8,44,1009.7,91.7,11,92
03.08.2017-07:00,1.2,50,1009.6,181.4,13.6,85
03.08.2017-08:00,1,54,1009.1,319,16.2,76
03.08.2017-09:00,1.2,60,1008.8,493.8,17.6,65
03.08.2017-10:00,1.5,60,1007.8,598.4,18.8,59
03.08.2017-11:00,1.1,38,1007.2,466.3,19,61
03.08.2017-12:00,1.4,37,1006.1,572,20.8,51
03.08.2017-13:00,2.4,16,1005.4,409.2,20.2,48
03.08.2017-14:00,2.9,0,1004.5,196.1,19.4,52
03.08.2017-15:00,2.4,0,1003.5,90.6,18.3,66
03.08.2017-16:00,2.9,0,1002.8,120.8,18,62
03.08.2017-17:00,3.8,0,1002.5,61.2,15.6,82
03.08.2017-18:00,2.9,0,1001.2,22,15.1,85
03.08.2017-19:00,2,0,1000.8,0.7,14.8,86
03.08.2017-20:00,3.5,0,999.9,0.5,14,94
03.08.2017-21:00,3.5,0,998.9,-5.1,14,94
03.08.2017-22:00,3.8,0,998.1,-4.1,13.7,97
03.08.2017-23:00,2.9,0,997.3,-4.4,13.7,98
04.08.2017-00:00,2.8,0,996.6,-4.4,13.7,100
04.08.2017-01:00,1.5,0,996,-5.2,14.2,99
04.08.2017-02:00,2.8,0,995.7,-5.9,14.7,100
04.08.2017-03:00,3.2,0,995.6,-5.5,14.2,98
04.08.2017-04:00,2.5,0,995.4,-5.3,14.2,100
04.08.2017-05:00,3.2,0,995.3,0.7,14,98
04.08.2017-06:00,2.4,0,995.3,21,13.9,98
04.08.2017-07:00,3.1,0,995.2,64.5,14.1,96
04.08.2017-08:00,2.4,0,995.3,108.5,14.6,93
04.08.2017-09:00,2.4,0,995.2,87.7,15.1,90
04.08.2017-10:00,1.8,15,994.8,385,17.4,81
04.08.2017-11:00,2.5,19,994.9,469.6,18.1,71
04.08.2017-12:00,2.1,22,994.5,560.4,19.8,69
04.08.2017-13:00,3.5,60,994.3,784,20,63
04.08.2017-14:00,3.2,48,994.2,683.1,20.3,59
04.08.2017-15:00,2.6,6,994.3,233.2,17.7,80
04.08.2017-16:00,3.3,22,994,248.2,18.2,74
